2026-09-06T03:30:26.4085478+08:00 pid=27256 tid=1 word-addin-loaded pid=27256 assembly=C:\Users\pojian_liao\AppData\Local\VisualTeX\office\remediation-builds\E8F2B08712C68E74E278270EFA169A73BF0D85CD12B889730136C3C05FA3306E\VisualTeX.WordVsto.dll mvid=28a98287-7445-4ed8-9b5d-fc80b151a488
2026-09-06T03:30:26.8110711+08:00 pid=27256 tid=1 hook-started handle=0x3116B
2026-09-06T03:30:26.9846602+08:00 pid=27256 tid=10 mathtype-native-preview-shared-prewarm-complete
2026-09-06T03:31:24.6860198+08:00 pid=27256 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T03:31:32.8923099+08:00 pid=27256 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T03:31:40.9348827+08:00 pid=27256 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T03:42:58.8065540+08:00 pid=27256 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T03:43:07.3175752+08:00 pid=27256 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T03:43:15.6839566+08:00 pid=27256 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T03:47:42.3358339+08:00 pid=27256 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T03:47:50.7809579+08:00 pid=27256 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T03:47:59.3540331+08:00 pid=27256 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T03:50:46.3215087+08:00 pid=27256 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T03:50:54.8471169+08:00 pid=27256 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T03:51:03.5413277+08:00 pid=27256 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T03:53:36.5663434+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T03:54:40.4454319+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T03:55:47.1788924+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T09:16:55.5748025+08:00 pid=27256 tid=12 left-down x=566 y=1060 wordForeground=True
2026-09-06T09:17:06.5168182+08:00 pid=27256 tid=12 left-down x=1730 y=1214 wordForeground=False
2026-09-06T09:17:08.6829289+08:00 pid=27256 tid=12 left-down x=1392 y=883 wordForeground=False
2026-09-06T09:17:10.1608077+08:00 pid=27256 tid=12 left-down x=1304 y=857 wordForeground=False
2026-09-06T09:17:11.0539223+08:00 pid=27256 tid=12 left-down x=1362 y=865 wordForeground=False
2026-09-06T09:17:17.9566741+08:00 pid=27256 tid=12 left-down x=1386 y=615 wordForeground=False
2026-09-06T09:17:19.2051304+08:00 pid=27256 tid=12 left-down x=1171 y=1361 wordForeground=False
2026-09-06T09:18:27.6190724+08:00 pid=27256 tid=12 left-down x=747 y=235 wordForeground=False
2026-09-06T09:18:35.9187965+08:00 pid=27256 tid=12 left-down x=3276 y=35 wordForeground=False
2026-09-06T09:18:38.1783936+08:00 pid=27256 tid=12 left-down x=160 y=85 wordForeground=False
2026-09-06T09:18:50.4615324+08:00 pid=27256 tid=12 left-down x=1591 y=571 wordForeground=False
2026-09-06T09:18:54.3337811+08:00 pid=27256 tid=12 left-down x=10 y=77 wordForeground=False
2026-09-06T09:18:56.0657126+08:00 pid=27256 tid=12 left-down x=1433 y=1125 wordForeground=False
2026-09-06T09:18:58.9205754+08:00 pid=27256 tid=12 left-down x=312 y=269 wordForeground=False
2026-09-06T09:19:01.4109542+08:00 pid=27256 tid=12 left-down x=61 y=268 wordForeground=False
2026-09-06T09:19:06.9984816+08:00 pid=27256 tid=12 left-down x=830 y=2130 wordForeground=False
2026-09-06T09:19:08.1605771+08:00 pid=27256 tid=12 left-down x=843 y=2128 wordForeground=False
2026-09-06T09:19:09.6480859+08:00 pid=27256 tid=12 left-down x=1727 y=788 wordForeground=False
2026-09-06T09:19:10.8035676+08:00 pid=27256 tid=12 left-down x=2529 y=475 wordForeground=False
2026-09-06T09:19:12.4530126+08:00 pid=27256 tid=12 left-down x=1057 y=2115 wordForeground=False
2026-09-06T09:19:16.5659648+08:00 pid=27256 tid=12 left-down x=642 y=1201 wordForeground=False
2026-09-06T09:19:35.1941520+08:00 pid=27256 tid=12 left-down x=1552 y=2118 wordForeground=True
