2026-09-06T10:52:08.5241891+08:00 pid=27764 tid=1 word-addin-loaded pid=27764 assembly=C:\Users\pojian_liao\AppData\Local\VisualTeX\office\remediation-builds\CCFDE9BD17E4FDDBF4E60640677C80C4D5079EA651AA61B428C5B5017D5CCC7A\VisualTeX.WordVsto.dll mvid=68ede432-c15e-4291-9994-1fb37fb10189
2026-09-06T10:52:08.9337825+08:00 pid=27764 tid=1 hook-started handle=0x23240
2026-09-06T10:52:09.1399169+08:00 pid=27764 tid=10 mathtype-native-preview-shared-prewarm-complete
2026-09-06T10:52:35.2101025+08:00 pid=27764 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:52:40.2244067+08:00 pid=27764 tid=1 word-undo-begin name=VisualTeX Insert Native OLE Display Formula recording=False level=0
2026-09-06T10:52:40.2254073+08:00 pid=27764 tid=1 word-undo-started name=VisualTeX Insert Native OLE Display Formula recording=True level=1
2026-09-06T10:52:40.4900786+08:00 pid=27764 tid=1 word-undo-end recording=True level=1
2026-09-06T10:52:40.5020778+08:00 pid=27764 tid=16 ribbon-session-operation-released sessionId=38d86336-7acf-49e2-bc73-a8d2142973e1
2026-09-06T10:52:49.7075756+08:00 pid=27764 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:52:51.4606493+08:00 pid=27764 tid=1 word-xml-incomplete-export document=文档75 attempt=1 maths=0/0 oles=0/1
2026-09-06T10:52:51.5178343+08:00 pid=27764 tid=1 word-undo-begin name=VisualTeX Insert Equation Reference recording=False level=0
2026-09-06T10:52:51.5178343+08:00 pid=27764 tid=1 word-undo-started name=VisualTeX Insert Equation Reference recording=True level=1
2026-09-06T10:52:51.5498333+08:00 pid=27764 tid=1 word-undo-end recording=True level=1
2026-09-06T10:54:55.3420359+08:00 pid=27764 tid=12 left-down x=736 y=1258 wordForeground=False
2026-09-06T10:54:57.9841029+08:00 pid=27764 tid=12 left-down x=2120 y=899 wordForeground=False
2026-09-06T10:54:58.5593833+08:00 pid=27764 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:55:13.6224689+08:00 pid=27764 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:56:54.9707392+08:00 pid=27764 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:57:09.6309275+08:00 pid=27764 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:58:00.5424774+08:00 pid=27764 tid=12 left-down x=1140 y=1210 wordForeground=True
2026-09-06T10:58:01.1484191+08:00 pid=27764 tid=12 left-down x=1140 y=1210 wordForeground=True
2026-09-06T10:59:31.4463363+08:00 pid=27764 tid=12 left-down x=846 y=1203 wordForeground=True
2026-09-06T10:59:34.5469728+08:00 pid=27764 tid=12 left-down x=2211 y=1232 wordForeground=False
