2026-09-06T10:54:30.6300315+08:00 pid=67744 tid=1 word-addin-loaded pid=67744 assembly=C:\Users\pojian_liao\AppData\Local\VisualTeX\office\remediation-builds\9C3C7A74D168A8CC4152560C8ADDF31C32338D8ED7BCBDDCD80E21EBC51E5038\VisualTeX.WordVsto.dll mvid=b0f21285-3983-4125-ae0d-4d82440d5fe7
2026-09-06T10:54:31.0308866+08:00 pid=67744 tid=1 hook-started handle=0x233E3
2026-09-06T10:54:31.2401182+08:00 pid=67744 tid=10 mathtype-native-preview-shared-prewarm-complete
2026-09-06T10:54:55.3000347+08:00 pid=67744 tid=12 left-down x=736 y=1258 wordForeground=False
2026-09-06T10:54:57.9042469+08:00 pid=67744 tid=12 left-down x=2120 y=899 wordForeground=False
2026-09-06T10:54:58.5313839+08:00 pid=67744 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:55:03.5103104+08:00 pid=67744 tid=1 word-undo-begin name=VisualTeX Insert Native OLE Display Formula recording=False level=0
2026-09-06T10:55:03.5103104+08:00 pid=67744 tid=1 word-undo-started name=VisualTeX Insert Native OLE Display Formula recording=True level=1
2026-09-06T10:55:03.8378688+08:00 pid=67744 tid=1 word-undo-end recording=True level=1
2026-09-06T10:55:03.8521471+08:00 pid=67744 tid=17 ribbon-session-operation-released sessionId=dcfcf630-241a-429e-82d4-943a78b33371
2026-09-06T10:55:13.5881596+08:00 pid=67744 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:55:15.2838009+08:00 pid=67744 tid=1 word-xml-incomplete-export document=文档77 attempt=1 maths=0/0 oles=0/1
2026-09-06T10:55:15.3402648+08:00 pid=67744 tid=1 word-undo-begin name=VisualTeX Insert Equation Reference recording=False level=0
2026-09-06T10:55:15.3412646+08:00 pid=67744 tid=1 word-undo-started name=VisualTeX Insert Equation Reference recording=True level=1
2026-09-06T10:55:15.3802631+08:00 pid=67744 tid=1 word-undo-end recording=True level=1
2026-09-06T10:56:54.9280836+08:00 pid=67744 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:57:09.5989278+08:00 pid=67744 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:58:00.5094046+08:00 pid=67744 tid=12 left-down x=1140 y=1210 wordForeground=True
2026-09-06T10:58:01.1142792+08:00 pid=67744 tid=12 left-down x=1140 y=1210 wordForeground=True
2026-09-06T10:59:31.4191679+08:00 pid=67744 tid=12 left-down x=846 y=1203 wordForeground=True
2026-09-06T10:59:34.5139735+08:00 pid=67744 tid=12 left-down x=2211 y=1232 wordForeground=False
2026-09-06T10:59:37.2084265+08:00 pid=67744 tid=12 left-down x=1718 y=1090 wordForeground=True
2026-09-06T10:59:38.2075699+08:00 pid=67744 tid=12 left-down x=1634 y=1069 wordForeground=True
