2026-09-06T17:41:06.3018312+08:00 pid=87408 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:41:06.8606031+08:00 pid=87408 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:41:09.1172707+08:00 pid=87408 [perf] Reconcile.adopt-native-hash-copies: +1798ms (1798ms)
2026-09-06T17:41:10.3537148+08:00 pid=87408 [perf] Reconcile.capture-omml-ids: +1236ms (3034ms)
2026-09-06T17:41:11.5066694+08:00 pid=87408 [perf] Reconcile.capture-numbered-locations: +1153ms (4187ms)
2026-09-06T17:41:11.5106695+08:00 pid=87408 [perf] Reconcile.repair-shared-captions: +4ms (4191ms)
2026-09-06T17:41:11.5106695+08:00 pid=87408 [perf] Reconcile.configure-inline-formulas: +1ms (4192ms)
2026-09-06T17:41:11.7814671+08:00 pid=87408 [perf] ConfigureNumbered.native-resolve-display: +9ms (9ms)
2026-09-06T17:41:11.8334669+08:00 pid=87408 [perf] ConfigureNumbered.native-clear-artifacts: +52ms (61ms)
2026-09-06T17:41:12.0434658+08:00 pid=87408 [perf] ConfigureNumbered.native-measure-display: +210ms (271ms)
2026-09-06T17:41:12.1094124+08:00 pid=87408 [perf] ConfigureNumbered.native-ensure-table: +66ms (337ms)
2026-09-06T17:41:12.1124122+08:00 pid=87408 [perf] ConfigureNumbered.native-resolve-table-formula: +3ms (340ms)
2026-09-06T17:41:12.1124122+08:00 pid=87408 [perf] ConfigureNumbered.native-height-repair: +1ms (341ms)
2026-09-06T17:41:12.3060075+08:00 pid=87408 [perf] ConfigureNumbered.native-geometry: +192ms (533ms)
2026-09-06T17:41:12.3060075+08:00 pid=87408 [perf] ConfigureNumbered.native-1x3-table: +1ms (534ms)
2026-09-06T17:41:12.3120073+08:00 pid=87408 [perf] ConfigureNumbered.direct-number-plan: +6ms (540ms)
2026-09-06T17:41:12.9048952+08:00 pid=87408 [perf] ConfigureNumbered.direct-visible-seq: +593ms (1133ms)
2026-09-06T17:41:13.0456008+08:00 pid=87408 [perf] ConfigureNumbered.native-post-table-spacing: +141ms (1274ms)
2026-09-06T17:41:13.2263933+08:00 pid=87408 [perf] ConfigureNumbered.native-wrap-identity: +180ms (1454ms)
2026-09-06T17:41:13.4817948+08:00 pid=87408 [perf] ConfigureNumbered.native-resolve-display: +4ms (4ms)
2026-09-06T17:41:13.5397967+08:00 pid=87408 [perf] ConfigureNumbered.native-clear-artifacts: +57ms (61ms)
2026-09-06T17:41:13.7737344+08:00 pid=87408 [perf] ConfigureNumbered.native-measure-display: +235ms (296ms)
2026-09-06T17:41:13.8287342+08:00 pid=87408 [perf] ConfigureNumbered.native-ensure-table: +55ms (351ms)
2026-09-06T17:41:13.8317342+08:00 pid=87408 [perf] ConfigureNumbered.native-resolve-table-formula: +3ms (354ms)
2026-09-06T17:41:13.8327340+08:00 pid=87408 [perf] ConfigureNumbered.native-height-repair: +0ms (354ms)
2026-09-06T17:41:14.0437370+08:00 pid=87408 [perf] ConfigureNumbered.native-geometry: +211ms (565ms)
