2026-09-06T21:22:57.4896170+08:00 pid=77768 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T21:23:13.4730820+08:00 pid=77768 [perf] ConvertedOmmlBatch.inventory: +606ms (606ms)
2026-09-06T21:23:13.4792484+08:00 pid=77768 [perf] ConvertedOmmlBatch.number-plan: +6ms (612ms)
2026-09-06T21:23:13.5724256+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +94ms (706ms)
2026-09-06T21:23:13.5784248+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +6ms (712ms)
2026-09-06T21:23:13.6144225+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +35ms (747ms)
2026-09-06T21:23:13.6786574+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +65ms (812ms)
2026-09-06T21:23:13.7212304+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +43ms (855ms)
2026-09-06T21:23:13.7222303+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +1ms (856ms)
2026-09-06T21:23:13.7232284+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (856ms)
2026-09-06T21:23:13.8307403+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +108ms (964ms)
2026-09-06T21:23:13.8307403+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (964ms)
2026-09-06T21:23:13.8317410+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (965ms)
2026-09-06T21:23:14.0892271+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +257ms (1222ms)
2026-09-06T21:23:14.1530712+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=502:503 original=503:516
2026-09-06T21:23:14.1676459+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +79ms (1301ms)
2026-09-06T21:23:14.2227879+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +56ms (1357ms)
2026-09-06T21:23:14.2237877+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +0ms (1357ms)
2026-09-06T21:23:14.3560252+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +133ms (1490ms)
2026-09-06T21:23:14.4633818+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +107ms (1597ms)
2026-09-06T21:23:14.4653818+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +2ms (1599ms)
2026-09-06T21:23:14.5114394+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +46ms (1645ms)
2026-09-06T21:23:14.5945917+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +83ms (1728ms)
2026-09-06T21:23:14.6345917+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +40ms (1768ms)
2026-09-06T21:23:14.6355915+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +1ms (1769ms)
2026-09-06T21:23:14.6355915+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (1769ms)
2026-09-06T21:23:14.7310025+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +96ms (1865ms)
2026-09-06T21:23:14.7310025+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (1865ms)
2026-09-06T21:23:14.7320018+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +0ms (1865ms)
2026-09-06T21:23:14.9891481+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +258ms (2123ms)
2026-09-06T21:23:15.0448573+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=454:455 original=455:473
2026-09-06T21:23:15.0562508+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +66ms (2189ms)
2026-09-06T21:23:15.1052601+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +50ms (2239ms)
2026-09-06T21:23:15.1052601+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +0ms (2239ms)
2026-09-06T21:23:15.2101233+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +105ms (2344ms)
2026-09-06T21:23:15.3104489+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +100ms (2444ms)
2026-09-06T21:23:15.3179658+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +8ms (2452ms)
2026-09-06T21:23:15.3609637+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +43ms (2495ms)
2026-09-06T21:23:15.4879015+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +126ms (2621ms)
2026-09-06T21:23:15.5439012+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +56ms (2677ms)
2026-09-06T21:23:15.5459019+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +2ms (2679ms)
2026-09-06T21:23:15.5459019+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (2679ms)
2026-09-06T21:23:15.6532920+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +108ms (2787ms)
2026-09-06T21:23:15.6532920+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (2787ms)
2026-09-06T21:23:15.6542909+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +0ms (2787ms)
2026-09-06T21:23:15.9115715+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +258ms (3045ms)
2026-09-06T21:23:15.9669466+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=361:362 original=362:370
2026-09-06T21:23:15.9769467+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +66ms (3111ms)
2026-09-06T21:23:16.0328675+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +55ms (3166ms)
2026-09-06T21:23:16.0328675+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +1ms (3167ms)
2026-09-06T21:23:16.1207980+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +87ms (3254ms)
2026-09-06T21:23:16.2225846+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +102ms (3356ms)
2026-09-06T21:23:16.2295845+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +7ms (3363ms)
2026-09-06T21:23:16.2585822+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +29ms (3392ms)
2026-09-06T21:23:16.3477639+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +90ms (3482ms)
2026-09-06T21:23:16.3783189+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +29ms (3511ms)
2026-09-06T21:23:16.3788367+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +2ms (3513ms)
2026-09-06T21:23:16.3798346+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (3513ms)
2026-09-06T21:23:16.4882549+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +109ms (3622ms)
2026-09-06T21:23:16.4892528+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (3622ms)
2026-09-06T21:23:16.4892528+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (3623ms)
2026-09-06T21:23:16.7486835+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +259ms (3882ms)
2026-09-06T21:23:16.8196786+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=271:272 original=272:278
2026-09-06T21:23:16.8326445+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +84ms (3966ms)
2026-09-06T21:23:16.8822756+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +50ms (4016ms)
2026-09-06T21:23:16.8842758+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-host: +1ms (4017ms)
2026-09-06T21:23:16.9705239+08:00 pid=77768 [perf] ConvertedOmmlBatch.repair-identity: +87ms (4104ms)
2026-09-06T21:23:17.1127427+08:00 pid=77768 [perf] ConvertedOmmlBatch.locate-target: +143ms (4247ms)
2026-09-06T21:23:17.1207403+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +7ms (4254ms)
2026-09-06T21:23:17.1499611+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +29ms (4283ms)
2026-09-06T21:23:17.2359611+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +87ms (4370ms)
2026-09-06T21:23:17.2659582+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +30ms (4400ms)
2026-09-06T21:23:17.2712636+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +5ms (4405ms)
2026-09-06T21:23:17.2712636+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (4405ms)
2026-09-06T21:23:17.3746411+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-geometry: +103ms (4508ms)
2026-09-06T21:23:17.3746411+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (4508ms)
2026-09-06T21:23:17.3746411+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +0ms (4508ms)
2026-09-06T21:23:17.6332993+08:00 pid=77768 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +258ms (4766ms)
2026-09-06T21:23:17.6895291+08:00 pid=77768 [perf] remove-owned-post-table-anchor generated=217:218 original=218:219
