2026-09-06T11:53:29.1525396+08:00 pid=69024 tid=1 word-addin-loaded pid=69024 assembly=C:\Users\pojian_liao\AppData\Local\VisualTeX\office\remediation-builds\AD48C2DA4301A3C7FE6FFA009D8F400DAF7D98DBB640B9CB7023AAA94ECF84C5\VisualTeX.WordVsto.dll mvid=cd101794-15d9-4ef5-a5f3-35faf3094203
2026-09-06T11:53:29.4439292+08:00 pid=69024 tid=1 hook-started handle=0x13F77
2026-09-06T11:53:29.6424674+08:00 pid=69024 tid=9 mathtype-native-preview-shared-prewarm-complete
2026-09-06T11:53:50.3276147+08:00 pid=69024 tid=11 left-down x=1083 y=2146 wordForeground=True
2026-09-06T11:54:06.8796929+08:00 pid=69024 tid=11 left-down x=1984 y=1086 wordForeground=False
2026-09-06T11:54:45.4884821+08:00 pid=69024 tid=1 word-undo-begin name=VisualTeX 重绘 LaTeX 公式 recording=False level=0
2026-09-06T11:54:45.4884821+08:00 pid=69024 tid=1 word-undo-started name=VisualTeX 重绘 LaTeX 公式 recording=True level=1
2026-09-06T11:54:46.9893567+08:00 pid=69024 tid=1 word-undo-end recording=False level=0
2026-09-06T11:56:53.7308474+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:56:55.2884113+08:00 pid=69024 tid=1 word-undo-begin name=VisualTeX Insert Equation Reference recording=False level=0
2026-09-06T11:56:55.2894112+08:00 pid=69024 tid=1 word-undo-started name=VisualTeX Insert Equation Reference recording=True level=1
2026-09-06T11:56:55.3764133+08:00 pid=69024 tid=1 word-undo-end recording=True level=1
2026-09-06T11:57:01.3620642+08:00 pid=69024 tid=11 left-down x=1838 y=818 wordForeground=True
2026-09-06T11:57:02.0992224+08:00 pid=69024 tid=1 word-undo-begin name=VisualTeX Set Equation Number Format recording=False level=0
2026-09-06T11:57:02.0992224+08:00 pid=69024 tid=1 word-undo-started name=VisualTeX Set Equation Number Format recording=True level=1
2026-09-06T11:57:02.2641023+08:00 pid=69024 tid=1 word-undo-end recording=False level=0
2026-09-06T12:09:32.0057478+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T12:10:06.3930833+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T12:10:48.5055688+08:00 pid=69024 tid=11 left-down x=1151 y=1515 wordForeground=True
