2026-09-06T12:52:52.7363954+08:00 pid=74892 tid=1 word-addin-loaded pid=74892 assembly=C:\Users\pojian_liao\AppData\Local\VisualTeX\office\remediation-builds\6E9D017EDCCD71A5D0C2E25EF821A32C8D9CA2468C314257FFAB88762D52E365\VisualTeX.WordVsto.dll mvid=f85e210d-b4f0-4315-ae9d-78649c46e2c0
2026-09-06T12:52:53.1010456+08:00 pid=74892 tid=1 hook-started handle=0x2479F
2026-09-06T12:52:53.3230857+08:00 pid=74892 tid=10 mathtype-native-preview-shared-prewarm-complete
2026-09-06T12:59:16.4849899+08:00 pid=74892 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T13:00:33.3337956+08:00 pid=74892 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T13:03:49.3721877+08:00 pid=74892 tid=12 left-down x=846 y=1216 wordForeground=True
2026-09-06T13:04:06.1762113+08:00 pid=74892 tid=12 left-down x=1992 y=1336 wordForeground=False
2026-09-06T13:04:08.2650937+08:00 pid=74892 tid=12 left-down x=1947 y=1234 wordForeground=True
2026-09-06T13:04:10.0107974+08:00 pid=74892 tid=12 left-down x=1796 y=1396 wordForeground=True
2026-09-06T13:04:11.2215425+08:00 pid=74892 tid=12 left-down x=1602 y=1458 wordForeground=True
2026-09-06T13:05:17.9448693+08:00 pid=74892 tid=12 left-down x=851 y=1174 wordForeground=True
2026-09-06T13:06:16.9835611+08:00 pid=74892 tid=12 left-down x=1302 y=747 wordForeground=False
2026-09-06T13:08:47.7398762+08:00 pid=74892 tid=12 left-down x=1302 y=747 wordForeground=True
2026-09-06T13:09:21.1962090+08:00 pid=74892 tid=12 left-down x=807 y=1221 wordForeground=True
2026-09-06T13:09:26.2834007+08:00 pid=74892 tid=12 left-down x=2025 y=1437 wordForeground=False
2026-09-06T13:09:27.8178018+08:00 pid=74892 tid=12 left-down x=1854 y=1262 wordForeground=True
2026-09-06T13:09:28.9406211+08:00 pid=74892 tid=12 left-down x=1605 y=1330 wordForeground=True
2026-09-06T13:11:25.1672656+08:00 pid=74892 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T13:14:21.1795583+08:00 pid=74892 tid=12 left-down x=801 y=1230 wordForeground=True
2026-09-06T13:14:41.3415804+08:00 pid=74892 tid=12 left-down x=909 y=1354 wordForeground=False
2026-09-06T13:16:12.5552013+08:00 pid=74892 tid=12 left-down x=854 y=1380 wordForeground=True
2026-09-06T13:16:14.5207589+08:00 pid=74892 tid=12 left-down x=1838 y=1436 wordForeground=False
2026-09-06T13:20:47.5237054+08:00 pid=74892 tid=12 left-down x=897 y=1337 wordForeground=True
2026-09-06T13:22:16.4010825+08:00 pid=74892 tid=12 left-down x=1079 y=2134 wordForeground=True
2026-09-06T13:23:30.8486591+08:00 pid=74892 tid=12 left-down x=912 y=1198 wordForeground=True
2026-09-06T13:23:56.1824377+08:00 pid=74892 tid=12 left-down x=300 y=15 wordForeground=False
2026-09-06T13:25:28.9626738+08:00 pid=74892 tid=12 left-down x=832 y=1274 wordForeground=True
2026-09-06T13:28:25.8960722+08:00 pid=74892 tid=12 left-down x=663 y=1262 wordForeground=True
2026-09-06T13:28:52.5648823+08:00 pid=74892 tid=12 left-down x=1317 y=747 wordForeground=False
