2026-09-06T14:30:31.0483472+08:00 pid=75316 tid=1 word-addin-loaded pid=75316 assembly=C:\Users\pojian_liao\AppData\Local\VisualTeX\office\remediation-builds\02C3E3FA3ED74E86002B6C6110300446B230A5743E9DC5E5BEFE50B4BE3E457C\VisualTeX.WordVsto.dll mvid=b126b51e-7846-4726-9647-299990546ed0
2026-09-06T14:30:31.4489883+08:00 pid=75316 tid=1 hook-started handle=0x1555C
2026-09-06T14:30:31.6608507+08:00 pid=75316 tid=10 mathtype-native-preview-shared-prewarm-complete
2026-09-06T14:30:53.9281516+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:30:56.3749224+08:00 pid=75316 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:30:58.7041921+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:32:39.7827916+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:39.9829910+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:37:42.7013825+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:45.2616189+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:39:06.0159390+08:00 pid=75316 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:39:14.3586209+08:00 pid=75316 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:46:01.5782134+08:00 pid=75316 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:46:10.4942021+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:47:27.2360872+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:47:29.8632397+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:48:35.1321540+08:00 pid=75316 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:48:43.3733262+08:00 pid=75316 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:49:31.8091676+08:00 pid=75316 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:49:32.4187232+08:00 pid=75316 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:50:11.7882352+08:00 pid=75316 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:53:20.5402614+08:00 pid=75316 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:53:29.4726895+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:53:32.3063614+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:53:34.6547873+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:55:35.0150079+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:59:39.2963298+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:07:00.6575721+08:00 pid=75316 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.1620891+08:00 pid=75316 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:09:34.5110951+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:21:09.7640007+08:00 pid=75316 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:21:34.1050882+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:21:36.9599586+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:21:39.4073278+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:22:31.5557572+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:26:35.8258836+08:00 pid=75316 tid=12 left-down x=1140 y=1088 wordForeground=True
