2026-09-06T17:08:16.0263884+08:00 pid=100856 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:08:16.1010781+08:00 pid=100856 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:08:16.1135991+08:00 pid=100856 [perf] Reconcile.adopt-native-hash-copies: +10ms (10ms)
2026-09-06T17:08:16.1145985+08:00 pid=100856 [perf] Reconcile.capture-omml-ids: +1ms (11ms)
2026-09-06T17:08:16.1225976+08:00 pid=100856 [perf] Reconcile.capture-numbered-locations: +8ms (19ms)
2026-09-06T17:08:16.1245980+08:00 pid=100856 [perf] Reconcile.repair-shared-captions: +2ms (21ms)
2026-09-06T17:08:16.1425987+08:00 pid=100856 [perf] ConfigureNumbered.tab-paragraph: +16ms (16ms)
2026-09-06T17:08:16.1515988+08:00 pid=100856 [perf] NativeCaption.prepare-paragraph: +4ms (4ms)
2026-09-06T17:08:16.1535988+08:00 pid=100856 [perf] NativeCaption.add-seq: +2ms (6ms)
2026-09-06T17:08:16.1555987+08:00 pid=100856 [perf] NativeCaption.update-seq: +3ms (9ms)
2026-09-06T17:08:16.1576012+08:00 pid=100856 [perf] NativeCaption.bookmarks: +1ms (10ms)
2026-09-06T17:08:16.1816000+08:00 pid=100856 [perf] NativeCaption.style-frame: +25ms (35ms)
2026-09-06T17:08:16.1825992+08:00 pid=100856 [perf] ConfigureNumbered.native-caption: +40ms (56ms)
2026-09-06T17:08:16.1966002+08:00 pid=100856 [perf] VisibleRef.scaffold: +6ms (6ms)
2026-09-06T17:08:16.2026008+08:00 pid=100856 [perf] VisibleRef.add-ref: +6ms (12ms)
2026-09-06T17:08:16.2175989+08:00 pid=100856 [perf] VisibleRef.update-ref: +16ms (28ms)
2026-09-06T17:08:16.2205991+08:00 pid=100856 [perf] VisibleRef.bookmark-format: +2ms (30ms)
2026-09-06T17:08:16.2235982+08:00 pid=100856 [perf] VisibleRef.vertical-align: +3ms (33ms)
2026-09-06T17:08:16.2235982+08:00 pid=100856 [perf] ConfigureNumbered.visible-ref: +41ms (97ms)
2026-09-06T17:08:16.2256011+08:00 pid=100856 [perf] ConfigureNumbered.ole-baseline: +2ms (99ms)
2026-09-06T17:08:16.2375999+08:00 pid=100856 [perf] ConfigureNumbered.tab-paragraph: +12ms (12ms)
2026-09-06T17:08:16.2436003+08:00 pid=100856 [perf] NativeCaption.prepare-paragraph: +5ms (5ms)
2026-09-06T17:08:16.2456006+08:00 pid=100856 [perf] NativeCaption.add-seq: +1ms (6ms)
2026-09-06T17:08:16.2475997+08:00 pid=100856 [perf] NativeCaption.update-seq: +3ms (9ms)
2026-09-06T17:08:16.2495991+08:00 pid=100856 [perf] NativeCaption.bookmarks: +1ms (10ms)
2026-09-06T17:08:16.2735999+08:00 pid=100856 [perf] NativeCaption.style-frame: +25ms (35ms)
2026-09-06T17:08:16.2735999+08:00 pid=100856 [perf] ConfigureNumbered.native-caption: +35ms (47ms)
2026-09-06T17:08:16.2796035+08:00 pid=100856 [perf] VisibleRef.scaffold: +5ms (5ms)
2026-09-06T17:08:16.2846000+08:00 pid=100856 [perf] VisibleRef.add-ref: +5ms (10ms)
2026-09-06T17:08:16.2955994+08:00 pid=100856 [perf] VisibleRef.update-ref: +10ms (20ms)
2026-09-06T17:08:16.2965996+08:00 pid=100856 [perf] VisibleRef.bookmark-format: +1ms (21ms)
2026-09-06T17:08:16.2995981+08:00 pid=100856 [perf] VisibleRef.vertical-align: +3ms (24ms)
2026-09-06T17:08:16.2995981+08:00 pid=100856 [perf] ConfigureNumbered.visible-ref: +26ms (73ms)
2026-09-06T17:08:16.3005991+08:00 pid=100856 [perf] ConfigureNumbered.ole-baseline: +1ms (74ms)
2026-09-06T17:08:16.3125991+08:00 pid=100856 [perf] ConfigureNumbered.tab-paragraph: +11ms (11ms)
2026-09-06T17:08:16.3185992+08:00 pid=100856 [perf] NativeCaption.prepare-paragraph: +5ms (5ms)
2026-09-06T17:08:16.3195992+08:00 pid=100856 [perf] NativeCaption.add-seq: +1ms (6ms)
2026-09-06T17:08:16.3216038+08:00 pid=100856 [perf] NativeCaption.update-seq: +2ms (8ms)
2026-09-06T17:08:16.3236002+08:00 pid=100856 [perf] NativeCaption.bookmarks: +2ms (10ms)
2026-09-06T17:08:16.3475991+08:00 pid=100856 [perf] NativeCaption.style-frame: +24ms (34ms)
2026-09-06T17:08:16.3475991+08:00 pid=100856 [perf] ConfigureNumbered.native-caption: +35ms (46ms)
2026-09-06T17:08:16.3515987+08:00 pid=100856 [perf] VisibleRef.scaffold: +4ms (4ms)
2026-09-06T17:08:16.3565987+08:00 pid=100856 [perf] VisibleRef.add-ref: +4ms (8ms)
2026-09-06T17:08:16.3635991+08:00 pid=100856 [perf] VisibleRef.update-ref: +8ms (16ms)
2026-09-06T17:08:16.3645995+08:00 pid=100856 [perf] VisibleRef.bookmark-format: +1ms (17ms)
2026-09-06T17:08:16.3696011+08:00 pid=100856 [perf] VisibleRef.vertical-align: +4ms (21ms)
2026-09-06T17:08:16.3696011+08:00 pid=100856 [perf] ConfigureNumbered.visible-ref: +22ms (68ms)
2026-09-06T17:08:16.3706000+08:00 pid=100856 [perf] ConfigureNumbered.ole-baseline: +1ms (69ms)
2026-09-06T17:08:16.3846005+08:00 pid=100856 [perf] ConfigureNumbered.tab-paragraph: +13ms (13ms)
2026-09-06T17:08:16.3915992+08:00 pid=100856 [perf] NativeCaption.prepare-paragraph: +5ms (5ms)
2026-09-06T17:08:16.3925994+08:00 pid=100856 [perf] NativeCaption.add-seq: +2ms (7ms)
2026-09-06T17:08:16.3955993+08:00 pid=100856 [perf] NativeCaption.update-seq: +2ms (9ms)
2026-09-06T17:08:16.3965997+08:00 pid=100856 [perf] NativeCaption.bookmarks: +2ms (11ms)
2026-09-06T17:08:16.4245999+08:00 pid=100856 [perf] NativeCaption.style-frame: +28ms (39ms)
2026-09-06T17:08:16.4245999+08:00 pid=100856 [perf] ConfigureNumbered.native-caption: +40ms (53ms)
2026-09-06T17:08:16.4295989+08:00 pid=100856 [perf] VisibleRef.scaffold: +4ms (4ms)
2026-09-06T17:08:16.4345998+08:00 pid=100856 [perf] VisibleRef.add-ref: +5ms (9ms)
2026-09-06T17:08:16.4415991+08:00 pid=100856 [perf] VisibleRef.update-ref: +7ms (16ms)
2026-09-06T17:08:16.4435995+08:00 pid=100856 [perf] VisibleRef.bookmark-format: +1ms (17ms)
2026-09-06T17:08:16.4475993+08:00 pid=100856 [perf] VisibleRef.vertical-align: +5ms (22ms)
2026-09-06T17:08:16.4475993+08:00 pid=100856 [perf] ConfigureNumbered.visible-ref: +23ms (76ms)
2026-09-06T17:08:16.4485992+08:00 pid=100856 [perf] ConfigureNumbered.ole-baseline: +1ms (77ms)
2026-09-06T17:08:16.4635990+08:00 pid=100856 [perf] ConfigureNumbered.tab-paragraph: +14ms (14ms)
2026-09-06T17:08:16.4705988+08:00 pid=100856 [perf] NativeCaption.prepare-paragraph: +6ms (6ms)
2026-09-06T17:08:16.4715987+08:00 pid=100856 [perf] NativeCaption.add-seq: +1ms (7ms)
2026-09-06T17:08:16.4745999+08:00 pid=100856 [perf] NativeCaption.update-seq: +3ms (10ms)
2026-09-06T17:08:16.4765997+08:00 pid=100856 [perf] NativeCaption.bookmarks: +2ms (12ms)
2026-09-06T17:08:16.5052697+08:00 pid=100856 [perf] NativeCaption.style-frame: +29ms (41ms)
2026-09-06T17:08:16.5052697+08:00 pid=100856 [perf] ConfigureNumbered.native-caption: +42ms (56ms)
2026-09-06T17:08:16.5109007+08:00 pid=100856 [perf] VisibleRef.scaffold: +5ms (5ms)
2026-09-06T17:08:16.5159016+08:00 pid=100856 [perf] VisibleRef.add-ref: +4ms (9ms)
2026-09-06T17:08:16.5245441+08:00 pid=100856 [perf] VisibleRef.update-ref: +9ms (18ms)
2026-09-06T17:08:16.5255545+08:00 pid=100856 [perf] VisibleRef.bookmark-format: +1ms (19ms)
2026-09-06T17:08:16.5295517+08:00 pid=100856 [perf] VisibleRef.vertical-align: +3ms (22ms)
2026-09-06T17:08:16.5295517+08:00 pid=100856 [perf] ConfigureNumbered.visible-ref: +23ms (79ms)
2026-09-06T17:08:16.5305544+08:00 pid=100856 [perf] ConfigureNumbered.ole-baseline: +2ms (81ms)
2026-09-06T17:08:16.5305544+08:00 pid=100856 [perf] Reconcile.configure-inline-formulas: +406ms (427ms)
2026-09-06T17:08:16.5315522+08:00 pid=100856 [perf] Reconcile.configure-omml-formulas: +1ms (428ms)
2026-09-06T17:08:16.5335532+08:00 pid=100856 [perf] Reconcile.number-format-preference: +1ms (429ms)
2026-09-06T17:08:16.5345526+08:00 pid=100856 [perf] Reconcile.remove-orphan-artifacts: +2ms (431ms)
2026-09-06T17:08:16.5365528+08:00 pid=100856 [perf] Reconcile.rebuild-number-bookmarks-1: +2ms (433ms)
2026-09-06T17:08:16.7667611+08:00 pid=100856 [perf] Reconcile.update-native-sequences: +230ms (663ms)
2026-09-06T17:08:16.7687621+08:00 pid=100856 [perf] Reconcile.rebuild-number-bookmarks-2: +2ms (665ms)
2026-09-06T17:08:16.8177628+08:00 pid=100856 [perf] Reconcile.update-main-story-fields: +49ms (714ms)
2026-09-06T17:08:16.9695256+08:00 pid=100856 [perf] Reconcile.update-inline-number-fields: +152ms (866ms)
2026-09-06T17:08:16.9705259+08:00 pid=100856 [perf] Reconcile.update-omml-number-fields: +1ms (867ms)
2026-09-06T17:08:17.1741957+08:00 pid=100856 [perf] Reconcile.update-cross-references: +203ms (1070ms)
2026-09-06T17:08:30.7912795+08:00 pid=100856 [perf] ConfigureNumbered.tab-paragraph: +22ms (22ms)
2026-09-06T17:08:30.8432816+08:00 pid=100856 [perf] ConfigureNumbered.native-caption: +52ms (74ms)
2026-09-06T17:08:30.8482797+08:00 pid=100856 [perf] ConfigureNumbered.visible-ref: +5ms (79ms)
2026-09-06T17:08:30.8492820+08:00 pid=100856 [perf] ConfigureNumbered.ole-baseline: +2ms (81ms)
2026-09-06T17:09:55.0687774+08:00 pid=100856 [perf] ConvertedOmmlBatch.inventory: +1139ms (1139ms)
