2026-09-06T17:20:43.1838246+08:00 pid=105892 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:20:43.7042269+08:00 pid=105892 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:20:45.7875909+08:00 pid=105892 [perf] Reconcile.adopt-native-hash-copies: +1615ms (1615ms)
2026-09-06T17:20:46.9002709+08:00 pid=105892 [perf] Reconcile.capture-omml-ids: +1112ms (2727ms)
2026-09-06T17:20:48.0021878+08:00 pid=105892 [perf] Reconcile.capture-numbered-locations: +1102ms (3829ms)
2026-09-06T17:20:48.0061895+08:00 pid=105892 [perf] Reconcile.repair-shared-captions: +4ms (3833ms)
2026-09-06T17:20:48.0071878+08:00 pid=105892 [perf] Reconcile.configure-inline-formulas: +1ms (3834ms)
2026-09-06T17:20:48.2735062+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-display: +6ms (6ms)
2026-09-06T17:20:48.3135063+08:00 pid=105892 [perf] ConfigureNumbered.native-clear-artifacts: +39ms (45ms)
2026-09-06T17:20:48.4912479+08:00 pid=105892 [perf] ConfigureNumbered.native-measure-display: +178ms (223ms)
2026-09-06T17:20:48.5534279+08:00 pid=105892 [perf] ConfigureNumbered.native-ensure-table: +62ms (285ms)
2026-09-06T17:20:48.5564279+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-table-formula: +3ms (288ms)
2026-09-06T17:20:48.5564279+08:00 pid=105892 [perf] ConfigureNumbered.native-height-repair: +0ms (288ms)
2026-09-06T17:20:48.7275313+08:00 pid=105892 [perf] ConfigureNumbered.native-geometry: +171ms (459ms)
2026-09-06T17:20:48.7285290+08:00 pid=105892 [perf] ConfigureNumbered.native-1x3-table: +1ms (460ms)
2026-09-06T17:20:48.7335283+08:00 pid=105892 [perf] ConfigureNumbered.direct-number-plan: +5ms (465ms)
2026-09-06T17:20:49.2366392+08:00 pid=105892 [perf] ConfigureNumbered.direct-visible-seq: +504ms (969ms)
2026-09-06T17:20:49.3738793+08:00 pid=105892 [perf] ConfigureNumbered.native-post-table-spacing: +137ms (1106ms)
2026-09-06T17:20:49.5311285+08:00 pid=105892 [perf] ConfigureNumbered.native-wrap-identity: +157ms (1263ms)
2026-09-06T17:20:49.7800509+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-display: +3ms (3ms)
2026-09-06T17:20:49.8214836+08:00 pid=105892 [perf] ConfigureNumbered.native-clear-artifacts: +42ms (45ms)
2026-09-06T17:20:50.0251956+08:00 pid=105892 [perf] ConfigureNumbered.native-measure-display: +204ms (249ms)
2026-09-06T17:20:50.0612106+08:00 pid=105892 [perf] ConfigureNumbered.native-ensure-table: +36ms (285ms)
2026-09-06T17:20:50.0632114+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-table-formula: +1ms (286ms)
2026-09-06T17:20:50.0632114+08:00 pid=105892 [perf] ConfigureNumbered.native-height-repair: +1ms (287ms)
2026-09-06T17:20:50.2524517+08:00 pid=105892 [perf] ConfigureNumbered.native-geometry: +189ms (476ms)
2026-09-06T17:20:50.2534492+08:00 pid=105892 [perf] ConfigureNumbered.native-1x3-table: +1ms (477ms)
2026-09-06T17:20:50.2554513+08:00 pid=105892 [perf] ConfigureNumbered.direct-number-plan: +2ms (479ms)
2026-09-06T17:20:50.7671717+08:00 pid=105892 [perf] ConfigureNumbered.direct-visible-seq: +512ms (991ms)
2026-09-06T17:20:50.9011648+08:00 pid=105892 [perf] ConfigureNumbered.native-post-table-spacing: +134ms (1125ms)
2026-09-06T17:20:51.0575171+08:00 pid=105892 [perf] ConfigureNumbered.native-wrap-identity: +156ms (1281ms)
2026-09-06T17:20:51.3026449+08:00 pid=105892 [perf] ConfigureNumbered.native-resolve-display: +5ms (5ms)
2026-09-06T17:20:51.3418332+08:00 pid=105892 [perf] ConfigureNumbered.native-clear-artifacts: +39ms (44ms)
2026-09-06T17:20:51.5354616+08:00 pid=105892 [perf] ConfigureNumbered.native-measure-display: +193ms (237ms)
2026-09-06T17:20:51.5794807+08:00 pid=105892 [perf] ConfigureNumbered.native-ensure-table: +45ms (282ms)
