2026-09-06T17:34:11.9794639+08:00 pid=85192 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:34:12.5336680+08:00 pid=85192 [perf] update-numbers.health-fail reason=no-parseable-field-codes
2026-09-06T17:34:14.5639784+08:00 pid=85192 [perf] Reconcile.adopt-native-hash-copies: +1591ms (1591ms)
2026-09-06T17:34:15.7205668+08:00 pid=85192 [perf] Reconcile.capture-omml-ids: +1157ms (2748ms)
2026-09-06T17:34:16.8342432+08:00 pid=85192 [perf] Reconcile.capture-numbered-locations: +1113ms (3861ms)
2026-09-06T17:34:16.8382411+08:00 pid=85192 [perf] Reconcile.repair-shared-captions: +4ms (3865ms)
2026-09-06T17:34:16.8382411+08:00 pid=85192 [perf] Reconcile.configure-inline-formulas: +1ms (3866ms)
2026-09-06T17:34:17.0967619+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +6ms (6ms)
2026-09-06T17:34:17.1363740+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +40ms (46ms)
2026-09-06T17:34:17.3181129+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +182ms (228ms)
2026-09-06T17:34:17.3713929+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +53ms (281ms)
2026-09-06T17:34:17.3739695+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +2ms (283ms)
2026-09-06T17:34:17.3739695+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +1ms (284ms)
2026-09-06T17:34:17.5406598+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +166ms (450ms)
2026-09-06T17:34:17.5406598+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (450ms)
2026-09-06T17:34:17.5453372+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +4ms (454ms)
2026-09-06T17:34:18.0564449+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +511ms (965ms)
2026-09-06T17:34:18.1913605+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +136ms (1101ms)
2026-09-06T17:34:18.3634252+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +172ms (1273ms)
2026-09-06T17:34:18.5865228+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +4ms (4ms)
2026-09-06T17:34:18.6390387+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +52ms (56ms)
2026-09-06T17:34:18.8637768+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +224ms (280ms)
2026-09-06T17:34:18.9042298+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +41ms (321ms)
2026-09-06T17:34:18.9072393+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +3ms (324ms)
2026-09-06T17:34:18.9072393+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +0ms (324ms)
2026-09-06T17:34:19.0977012+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +191ms (515ms)
2026-09-06T17:34:19.0987004+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (515ms)
2026-09-06T17:34:19.0997035+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +1ms (516ms)
2026-09-06T17:34:19.6029625+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +503ms (1019ms)
2026-09-06T17:34:19.7288533+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +127ms (1146ms)
2026-09-06T17:34:19.8753782+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +146ms (1292ms)
2026-09-06T17:34:20.1030139+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +3ms (3ms)
2026-09-06T17:34:20.1428823+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +40ms (43ms)
2026-09-06T17:34:20.3477236+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +205ms (248ms)
2026-09-06T17:34:20.3915915+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +44ms (292ms)
2026-09-06T17:34:20.3925915+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +2ms (294ms)
2026-09-06T17:34:20.3935914+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +0ms (294ms)
2026-09-06T17:34:20.5967692+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +203ms (497ms)
2026-09-06T17:34:20.5967692+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (497ms)
2026-09-06T17:34:20.5977676+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +2ms (499ms)
2026-09-06T17:34:21.1505593+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +552ms (1051ms)
2026-09-06T17:34:21.2899348+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +139ms (1190ms)
2026-09-06T17:34:21.4414607+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +152ms (1342ms)
2026-09-06T17:34:21.6787906+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +6ms (6ms)
2026-09-06T17:34:21.7144541+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +35ms (41ms)
2026-09-06T17:34:21.9103098+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +195ms (236ms)
